is_offer_completed,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,reward,difficulty,duration,offer_type,email,mobile,web,social
0,M,28,36000.0,2018,5,15,10,10,5,bogo,True,True,True,True
1,M,33,53000.0,2016,2,19,2,10,7,discount,True,True,True,False
1,M,71,55000.0,2017,12,8,5,5,7,bogo,True,True,True,False
1,F,70,106000.0,2017,1,7,10,10,5,bogo,True,True,True,True
0,F,56,82000.0,2017,1,4,0,0,3,informational,True,True,False,True
0,F,45,56000.0,2017,8,27,10,10,5,bogo,True,True,True,True
1,M,42,56000.0,2017,1,15,5,5,5,bogo,True,True,True,True
0,M,53,70000.0,2014,3,16,0,0,3,informational,True,True,False,True
0,F,41,38000.0,2018,1,29,3,7,7,discount,True,True,True,True
1,F,118,70598.23,2015,8,1,3,7,7,discount,True,True,True,True
1,M,93,48000.0,2016,6,12,3,7,7,discount,True,True,True,True
1,M,72,94000.0,2016,11,3,10,10,7,bogo,True,True,False,True
0,F,118,70598.23,2016,4,7,3,7,7,discount,True,True,True,True
1,M,61,35000.0,2017,8,2,2,10,7,discount,True,True,True,False
0,M,21,75000.0,2018,6,19,0,0,3,informational,True,True,False,True
1,M,63,111000.0,2017,12,13,10,10,7,bogo,True,True,False,True
1,F,43,66000.0,2016,4,12,3,7,7,discount,True,True,True,True
1,F,38,55000.0,2016,6,24,10,10,7,bogo,True,True,False,True
1,F,66,76000.0,2017,3,16,2,10,10,discount,True,True,True,True
0,F,118,70598.23,2015,9,5,2,10,10,discount,True,True,True,True
0,F,46,50000.0,2017,11,13,2,10,10,discount,True,True,True,True
1,F,56,67000.0,2015,9,16,2,10,10,discount,True,True,True,True
1,M,52,50000.0,2017,12,28,3,7,7,discount,True,True,True,True
1,F,58,76000.0,2016,1,29,5,5,5,bogo,True,True,True,True
1,F,51,74000.0,2017,11,20,10,10,5,bogo,True,True,True,True
0,F,74,84000.0,2015,12,31,0,0,3,informational,True,True,False,True
1,F,81,37000.0,2016,8,24,3,7,7,discount,True,True,True,True
0,M,24,59000.0,2017,7,9,10,10,5,bogo,True,True,True,True
1,F,59,115000.0,2016,8,2,10,10,5,bogo,True,True,True,True
0,M,43,43000.0,2017,8,13,3,7,7,discount,True,True,True,True
0,M,66,97000.0,2017,11,13,0,0,4,informational,True,True,True,False
0,F,48,70000.0,2018,1,19,0,0,3,informational,True,True,False,True
0,O,51,55000.0,2018,5,6,5,20,10,discount,True,False,True,False
0,F,118,70598.23,2017,10,25,5,5,7,bogo,True,True,True,False
1,M,53,53000.0,2013,12,12,3,7,7,discount,True,True,True,True
1,M,29,66000.0,2013,12,26,10,10,5,bogo,True,True,True,True
1,F,47,93000.0,2018,1,20,5,5,7,bogo,True,True,True,False
0,M,21,55000.0,2018,2,7,2,10,10,discount,True,True,True,True
1,M,60,114000.0,2015,11,27,5,5,5,bogo,True,True,True,True
1,F,55,118000.0,2016,5,15,10,10,7,bogo,True,True,False,True
1,M,35,34000.0,2014,10,4,3,7,7,discount,True,True,True,True
1,F,40,74000.0,2015,8,16,5,5,5,bogo,True,True,True,True
1,M,27,62000.0,2014,12,29,2,10,10,discount,True,True,True,True
0,F,118,70598.23,2018,5,19,3,7,7,discount,True,True,True,True
1,F,50,77000.0,2015,11,2,5,5,7,bogo,True,True,True,False
1,M,47,55000.0,2017,4,20,5,20,10,discount,True,False,True,False
0,F,42,38000.0,2017,7,31,0,0,4,informational,True,True,True,False
1,M,68,52000.0,2015,12,11,10,10,5,bogo,True,True,True,True
0,F,118,70598.23,2016,7,21,10,10,7,bogo,True,True,False,True
0,M,71,33000.0,2018,1,7,10,10,5,bogo,True,True,True,True
1,F,82,101000.0,2017,12,12,10,10,7,bogo,True,True,False,True
0,M,22,74000.0,2017,8,8,2,10,10,discount,True,True,True,True
1,F,95,90000.0,2017,10,7,2,10,10,discount,True,True,True,True
1,M,55,58000.0,2017,8,6,2,10,10,discount,True,True,True,True
0,F,118,70598.23,2015,10,26,10,10,5,bogo,True,True,True,True
1,F,53,73000.0,2018,3,8,3,7,7,discount,True,True,True,True
1,M,56,86000.0,2017,9,9,2,10,10,discount,True,True,True,True
1,F,59,99000.0,2018,1,12,2,10,10,discount,True,True,True,True
1,M,34,66000.0,2015,3,7,3,7,7,discount,True,True,True,True
0,M,68,87000.0,2013,12,10,10,10,5,bogo,True,True,True,True
1,M,51,78000.0,2016,5,4,10,10,7,bogo,True,True,False,True
0,F,65,83000.0,2017,12,21,0,0,3,informational,True,True,False,True
1,M,27,47000.0,2016,4,14,2,10,7,discount,True,True,True,False
0,F,118,70598.23,2017,5,29,2,10,10,discount,True,True,True,True
0,M,81,93000.0,2018,5,3,0,0,3,informational,True,True,False,True
0,F,118,70598.23,2017,2,8,5,20,10,discount,True,False,True,False
0,M,19,67000.0,2018,3,2,3,7,7,discount,True,True,True,True
0,M,61,35000.0,2018,5,25,2,10,10,discount,True,True,True,True
0,O,70,55000.0,2017,12,28,0,0,4,informational,True,True,True,False
1,F,54,86000.0,2015,12,7,2,10,10,discount,True,True,True,True
1,M,31,54000.0,2018,7,16,10,10,7,bogo,True,True,False,True
1,F,73,113000.0,2017,8,8,10,10,5,bogo,True,True,True,True
0,M,83,62000.0,2018,7,5,2,10,10,discount,True,True,True,True
0,M,51,63000.0,2017,1,6,10,10,5,bogo,True,True,True,True
1,M,40,68000.0,2017,1,12,3,7,7,discount,True,True,True,True
1,M,77,49000.0,2017,12,12,2,10,7,discount,True,True,True,False
1,M,49,51000.0,2016,11,8,5,5,7,bogo,True,True,True,False
1,F,74,91000.0,2015,11,18,2,10,10,discount,True,True,True,True
0,F,118,70598.23,2017,9,29,2,10,10,discount,True,True,True,True
1,F,56,111000.0,2017,9,21,3,7,7,discount,True,True,True,True
0,F,118,70598.23,2017,9,7,2,10,7,discount,True,True,True,False
0,M,51,55000.0,2018,4,17,10,10,7,bogo,True,True,False,True
1,F,22,65000.0,2016,6,10,5,5,7,bogo,True,True,True,False
1,F,48,71000.0,2017,12,20,10,10,5,bogo,True,True,True,True
0,M,71,48000.0,2017,11,2,5,5,7,bogo,True,True,True,False
1,F,38,49000.0,2018,4,6,10,10,7,bogo,True,True,False,True
1,M,54,39000.0,2018,5,23,10,10,5,bogo,True,True,True,True
0,M,31,36000.0,2016,8,19,0,0,4,informational,True,True,True,False
1,F,74,35000.0,2017,5,17,10,10,5,bogo,True,True,True,True
0,F,118,70598.23,2017,10,14,10,10,7,bogo,True,True,False,True
1,F,51,91000.0,2017,9,13,3,7,7,discount,True,True,True,True
0,M,59,105000.0,2017,7,17,0,0,3,informational,True,True,False,True
0,M,56,57000.0,2014,4,7,10,10,7,bogo,True,True,False,True
1,M,63,62000.0,2015,8,14,5,5,5,bogo,True,True,True,True
0,M,68,39000.0,2014,1,4,10,10,7,bogo,True,True,False,True
0,F,76,34000.0,2018,6,13,3,7,7,discount,True,True,True,True
0,M,56,50000.0,2017,8,25,5,5,5,bogo,True,True,True,True
0,F,118,70598.23,2017,12,5,3,7,7,discount,True,True,True,True
0,M,78,54000.0,2018,1,6,2,10,10,discount,True,True,True,True
1,M,46,54000.0,2016,10,22,5,5,7,bogo,True,True,True,False
0,F,60,52000.0,2017,2,11,0,0,4,informational,True,True,True,False
0,F,118,70598.23,2016,4,29,5,5,7,bogo,True,True,True,False
0,M,56,67000.0,2016,3,23,0,0,3,informational,True,True,False,True
1,F,50,119000.0,2015,7,29,10,10,5,bogo,True,True,True,True
0,M,67,36000.0,2017,9,16,0,0,3,informational,True,True,False,True
1,M,51,65000.0,2017,11,6,2,10,10,discount,True,True,True,True
1,M,50,37000.0,2016,3,27,5,5,7,bogo,True,True,True,False
1,F,61,98000.0,2017,9,2,5,5,5,bogo,True,True,True,True
1,O,33,70000.0,2016,2,9,5,5,7,bogo,True,True,True,False
1,F,68,103000.0,2017,2,23,2,10,7,discount,True,True,True,False
0,F,72,55000.0,2017,12,9,0,0,3,informational,True,True,False,True
0,M,55,56000.0,2016,8,18,5,5,5,bogo,True,True,True,True
0,F,118,70598.23,2015,10,12,2,10,10,discount,True,True,True,True
0,F,38,72000.0,2018,4,29,5,5,7,bogo,True,True,True,False
0,M,35,42000.0,2018,3,18,10,10,5,bogo,True,True,True,True
1,F,65,100000.0,2016,4,23,2,10,10,discount,True,True,True,True
1,M,50,52000.0,2017,4,14,5,5,7,bogo,True,True,True,False
1,F,72,72000.0,2016,8,11,10,10,5,bogo,True,True,True,True
0,F,68,95000.0,2018,6,18,5,5,7,bogo,True,True,True,False
1,F,69,89000.0,2015,11,20,2,10,10,discount,True,True,True,True
0,M,40,34000.0,2016,10,9,10,10,7,bogo,True,True,False,True
0,M,63,48000.0,2015,11,18,10,10,5,bogo,True,True,True,True
1,M,56,42000.0,2017,11,1,10,10,5,bogo,True,True,True,True
0,F,118,70598.23,2013,9,20,0,0,4,informational,True,True,True,False
0,F,118,70598.23,2015,8,4,10,10,7,bogo,True,True,False,True
1,F,56,88000.0,2017,12,9,10,10,5,bogo,True,True,True,True
1,M,58,31000.0,2016,4,28,10,10,7,bogo,True,True,False,True
0,M,27,41000.0,2018,1,6,0,0,3,informational,True,True,False,True
0,M,36,55000.0,2018,1,31,5,5,5,bogo,True,True,True,True
1,M,30,51000.0,2015,11,28,10,10,7,bogo,True,True,False,True
0,M,53,60000.0,2018,4,10,3,7,7,discount,True,True,True,True
0,M,29,59000.0,2018,5,29,10,10,5,bogo,True,True,True,True
0,F,63,61000.0,2017,8,13,0,0,4,informational,True,True,True,False
0,F,118,70598.23,2018,6,16,0,0,3,informational,True,True,False,True
0,M,46,61000.0,2016,6,28,0,0,3,informational,True,True,False,True
0,F,24,53000.0,2018,3,21,0,0,3,informational,True,True,False,True
1,F,48,79000.0,2017,4,13,3,7,7,discount,True,True,True,True
0,F,118,70598.23,2017,5,21,2,10,10,discount,True,True,True,True
1,F,60,62000.0,2016,4,19,3,7,7,discount,True,True,True,True
1,M,50,61000.0,2014,11,19,2,10,10,discount,True,True,True,True
1,F,43,39000.0,2017,12,13,10,10,7,bogo,True,True,False,True
1,F,75,58000.0,2016,10,3,3,7,7,discount,True,True,True,True
1,F,53,106000.0,2017,2,21,10,10,5,bogo,True,True,True,True
1,M,49,66000.0,2016,11,6,10,10,5,bogo,True,True,True,True
0,F,20,73000.0,2017,10,3,10,10,7,bogo,True,True,False,True
0,M,56,47000.0,2018,1,22,10,10,5,bogo,True,True,True,True
1,M,92,60000.0,2015,10,19,10,10,7,bogo,True,True,False,True
0,M,80,32000.0,2018,1,27,10,10,7,bogo,True,True,False,True
1,F,29,64000.0,2018,3,12,5,5,5,bogo,True,True,True,True
0,M,53,91000.0,2018,1,1,5,5,7,bogo,True,True,True,False
1,F,44,63000.0,2017,10,6,5,20,10,discount,True,False,True,False
1,F,69,64000.0,2017,4,7,5,5,5,bogo,True,True,True,True
1,F,71,93000.0,2016,8,6,10,10,7,bogo,True,True,False,True
1,M,74,87000.0,2017,7,25,5,5,5,bogo,True,True,True,True
1,M,86,92000.0,2016,2,9,2,10,10,discount,True,True,True,True
0,F,118,70598.23,2016,12,1,10,10,5,bogo,True,True,True,True
0,M,66,33000.0,2015,3,22,0,0,4,informational,True,True,True,False
1,F,83,34000.0,2017,6,15,2,10,10,discount,True,True,True,True
1,F,118,70598.23,2017,11,12,5,5,5,bogo,True,True,True,True
1,F,47,97000.0,2014,6,20,5,5,5,bogo,True,True,True,True
0,M,51,79000.0,2014,5,17,10,10,5,bogo,True,True,True,True
1,M,49,82000.0,2017,9,21,5,5,7,bogo,True,True,True,False
1,M,57,42000.0,2017,12,31,3,7,7,discount,True,True,True,True
0,F,51,77000.0,2018,6,11,5,5,5,bogo,True,True,True,True
0,M,53,31000.0,2015,5,7,10,10,7,bogo,True,True,False,True
1,F,118,70598.23,2016,12,26,3,7,7,discount,True,True,True,True
0,M,79,31000.0,2017,10,1,0,0,4,informational,True,True,True,False
0,F,75,82000.0,2017,10,5,5,5,5,bogo,True,True,True,True
0,F,22,45000.0,2017,11,15,0,0,3,informational,True,True,False,True
0,M,59,47000.0,2014,12,20,10,10,7,bogo,True,True,False,True
1,F,31,42000.0,2015,9,29,3,7,7,discount,True,True,True,True
0,F,70,64000.0,2014,10,5,5,20,10,discount,True,False,True,False
1,F,55,81000.0,2017,12,8,10,10,5,bogo,True,True,True,True
0,F,118,70598.23,2017,10,4,0,0,3,informational,True,True,False,True
1,F,52,78000.0,2016,5,25,5,20,10,discount,True,False,True,False
0,M,78,52000.0,2015,1,2,10,10,7,bogo,True,True,False,True
1,F,51,85000.0,2017,1,13,3,7,7,discount,True,True,True,True
0,M,28,41000.0,2016,4,22,5,5,7,bogo,True,True,True,False
1,M,61,62000.0,2017,8,12,3,7,7,discount,True,True,True,True
0,F,65,95000.0,2016,6,10,0,0,3,informational,True,True,False,True
0,F,52,76000.0,2018,7,22,0,0,4,informational,True,True,True,False
0,F,69,79000.0,2017,11,4,3,7,7,discount,True,True,True,True
0,M,22,35000.0,2014,3,29,2,10,7,discount,True,True,True,False
1,F,54,116000.0,2016,3,22,10,10,5,bogo,True,True,True,True
0,M,34,44000.0,2017,11,6,5,5,7,bogo,True,True,True,False
1,M,59,75000.0,2018,3,2,2,10,10,discount,True,True,True,True
0,M,54,67000.0,2018,5,12,5,5,5,bogo,True,True,True,True
0,F,118,70598.23,2016,11,23,5,5,5,bogo,True,True,True,True
1,F,19,62000.0,2016,7,30,3,7,7,discount,True,True,True,True
0,M,73,45000.0,2013,11,14,5,5,5,bogo,True,True,True,True
0,M,73,54000.0,2017,8,27,10,10,7,bogo,True,True,False,True
0,F,81,84000.0,2016,5,19,10,10,5,bogo,True,True,True,True
0,F,81,50000.0,2014,11,8,0,0,3,informational,True,True,False,True
1,M,59,59000.0,2017,1,23,10,10,5,bogo,True,True,True,True
0,M,78,58000.0,2015,11,11,0,0,3,informational,True,True,False,True
0,M,25,30000.0,2016,11,5,10,10,5,bogo,True,True,True,True
1,M,19,39000.0,2017,4,2,3,7,7,discount,True,True,True,True
0,F,42,61000.0,2018,5,16,5,5,5,bogo,True,True,True,True
1,M,54,46000.0,2015,8,7,10,10,5,bogo,True,True,True,True
1,F,84,88000.0,2017,7,2,10,10,5,bogo,True,True,True,True
0,F,51,90000.0,2018,3,3,0,0,3,informational,True,True,False,True
0,M,62,60000.0,2018,1,14,0,0,3,informational,True,True,False,True
0,M,48,63000.0,2016,5,19,0,0,3,informational,True,True,False,True
1,M,30,64000.0,2018,6,1,10,10,5,bogo,True,True,True,True
1,M,45,63000.0,2017,6,20,10,10,7,bogo,True,True,False,True
1,M,34,45000.0,2016,10,12,5,5,7,bogo,True,True,True,False
0,M,61,63000.0,2015,11,9,10,10,7,bogo,True,True,False,True
0,M,34,40000.0,2015,9,9,2,10,10,discount,True,True,True,True
0,M,40,37000.0,2015,10,31,0,0,4,informational,True,True,True,False
0,M,61,57000.0,2017,12,30,0,0,4,informational,True,True,True,False
1,M,53,92000.0,2015,11,16,3,7,7,discount,True,True,True,True
0,F,63,80000.0,2017,3,3,0,0,3,informational,True,True,False,True
0,F,118,70598.23,2018,2,25,5,5,7,bogo,True,True,True,False
1,M,74,100000.0,2017,12,14,5,5,5,bogo,True,True,True,True
0,F,118,70598.23,2018,2,1,5,5,5,bogo,True,True,True,True
0,F,78,93000.0,2017,9,28,10,10,7,bogo,True,True,False,True
0,F,94,49000.0,2018,2,8,3,7,7,discount,True,True,True,True
0,F,59,115000.0,2016,8,2,0,0,4,informational,True,True,True,False
0,M,47,89000.0,2018,5,6,10,10,5,bogo,True,True,True,True
1,M,26,39000.0,2015,5,8,5,5,5,bogo,True,True,True,True
1,M,57,64000.0,2017,6,24,10,10,7,bogo,True,True,False,True
0,M,59,52000.0,2013,11,24,5,5,5,bogo,True,True,True,True
0,F,52,96000.0,2017,1,25,0,0,3,informational,True,True,False,True
0,F,42,84000.0,2018,5,29,0,0,4,informational,True,True,True,False
0,M,30,68000.0,2017,12,13,10,10,7,bogo,True,True,False,True
1,F,48,53000.0,2016,10,9,10,10,7,bogo,True,True,False,True
1,M,78,78000.0,2016,4,11,5,20,10,discount,True,False,True,False
1,M,81,117000.0,2016,1,16,10,10,5,bogo,True,True,True,True
0,M,43,70000.0,2017,9,15,5,5,5,bogo,True,True,True,True
0,F,36,51000.0,2017,7,5,0,0,4,informational,True,True,True,False
1,M,27,36000.0,2017,7,20,3,7,7,discount,True,True,True,True
1,M,58,99000.0,2017,11,22,2,10,10,discount,True,True,True,True
1,F,51,81000.0,2016,12,27,2,10,10,discount,True,True,True,True
1,M,63,89000.0,2016,10,27,2,10,7,discount,True,True,True,False
0,M,60,32000.0,2017,11,21,3,7,7,discount,True,True,True,True
1,M,56,61000.0,2017,7,22,2,10,10,discount,True,True,True,True
0,M,20,40000.0,2013,11,16,10,10,5,bogo,True,True,True,True
0,F,73,58000.0,2015,10,30,0,0,3,informational,True,True,False,True
0,M,52,51000.0,2018,7,8,10,10,7,bogo,True,True,False,True
0,M,40,57000.0,2018,4,27,3,7,7,discount,True,True,True,True
1,M,49,34000.0,2017,12,25,5,5,5,bogo,True,True,True,True
0,M,60,49000.0,2018,2,10,5,5,7,bogo,True,True,True,False
1,O,57,98000.0,2017,11,7,5,5,5,bogo,True,True,True,True
0,F,18,40000.0,2017,8,22,0,0,4,informational,True,True,True,False
1,F,60,80000.0,2016,7,26,5,20,10,discount,True,False,True,False
1,F,61,99000.0,2017,9,15,10,10,5,bogo,True,True,True,True
1,F,69,70000.0,2017,3,8,5,20,10,discount,True,False,True,False
0,F,50,114000.0,2018,5,12,10,10,5,bogo,True,True,True,True
1,M,53,55000.0,2016,6,3,5,20,10,discount,True,False,True,False
0,O,47,79000.0,2018,2,14,0,0,4,informational,True,True,True,False
0,M,54,38000.0,2016,6,12,0,0,4,informational,True,True,True,False
1,M,27,42000.0,2013,12,31,5,5,5,bogo,True,True,True,True
0,F,118,70598.23,2018,3,17,2,10,7,discount,True,True,True,False
1,M,48,62000.0,2015,11,15,5,5,7,bogo,True,True,True,False
1,M,68,48000.0,2017,1,19,3,7,7,discount,True,True,True,True
0,M,36,41000.0,2017,8,18,0,0,3,informational,True,True,False,True
1,M,47,69000.0,2017,8,12,2,10,7,discount,True,True,True,False
0,F,118,70598.23,2016,1,13,5,5,7,bogo,True,True,True,False
0,M,50,37000.0,2018,3,1,10,10,5,bogo,True,True,True,True
0,F,63,94000.0,2017,11,10,10,10,7,bogo,True,True,False,True
0,F,118,70598.23,2017,11,29,10,10,5,bogo,True,True,True,True
1,M,75,99000.0,2017,10,23,3,7,7,discount,True,True,True,True
1,F,26,54000.0,2018,3,5,5,5,7,bogo,True,True,True,False
0,M,69,70000.0,2017,8,17,2,10,10,discount,True,True,True,True
1,M,57,80000.0,2016,2,12,3,7,7,discount,True,True,True,True
1,M,27,45000.0,2017,11,29,5,5,5,bogo,True,True,True,True
0,M,42,47000.0,2018,7,8,2,10,10,discount,True,True,True,True
0,M,42,54000.0,2017,7,5,10,10,5,bogo,True,True,True,True
1,F,21,42000.0,2018,1,15,10,10,7,bogo,True,True,False,True
0,F,51,95000.0,2017,10,29,5,5,5,bogo,True,True,True,True
1,M,40,33000.0,2016,7,9,5,5,7,bogo,True,True,True,False
0,M,46,50000.0,2017,9,6,3,7,7,discount,True,True,True,True
0,M,21,70000.0,2013,12,3,10,10,7,bogo,True,True,False,True
0,F,77,118000.0,2016,7,25,0,0,3,informational,True,True,False,True
0,M,23,40000.0,2017,11,10,0,0,3,informational,True,True,False,True
1,M,56,75000.0,2018,6,12,10,10,7,bogo,True,True,False,True
1,M,73,36000.0,2018,7,1,3,7,7,discount,True,True,True,True
1,M,33,64000.0,2017,9,23,5,5,5,bogo,True,True,True,True
0,F,57,83000.0,2017,8,11,2,10,7,discount,True,True,True,False
0,M,77,53000.0,2018,1,16,10,10,5,bogo,True,True,True,True
1,F,27,41000.0,2017,10,15,10,10,5,bogo,True,True,True,True
0,F,56,58000.0,2016,8,6,0,0,3,informational,True,True,False,True
1,F,57,77000.0,2017,11,18,3,7,7,discount,True,True,True,True
1,F,71,64000.0,2015,11,13,5,5,7,bogo,True,True,True,False
1,F,46,70000.0,2016,7,13,3,7,7,discount,True,True,True,True
1,M,39,39000.0,2017,10,18,2,10,7,discount,True,True,True,False
0,M,46,50000.0,2016,2,26,10,10,7,bogo,True,True,False,True
0,M,61,34000.0,2013,10,15,0,0,3,informational,True,True,False,True
0,M,37,39000.0,2018,7,4,3,7,7,discount,True,True,True,True
1,M,57,72000.0,2017,5,18,5,5,5,bogo,True,True,True,True
0,F,18,68000.0,2018,3,11,0,0,3,informational,True,True,False,True
0,M,83,42000.0,2013,8,28,10,10,7,bogo,True,True,False,True
1,F,32,68000.0,2017,3,12,10,10,5,bogo,True,True,True,True
0,M,59,87000.0,2018,6,10,5,5,7,bogo,True,True,True,False
0,F,49,95000.0,2018,6,18,5,5,5,bogo,True,True,True,True
1,M,54,63000.0,2017,7,21,2,10,10,discount,True,True,True,True
1,F,74,111000.0,2017,12,1,5,20,10,discount,True,False,True,False
1,M,51,67000.0,2017,2,19,10,10,7,bogo,True,True,False,True
0,F,118,70598.23,2016,1,22,5,5,5,bogo,True,True,True,True
1,M,38,31000.0,2018,1,17,3,7,7,discount,True,True,True,True
1,F,49,56000.0,2017,2,22,5,5,5,bogo,True,True,True,True
1,F,56,84000.0,2016,11,23,10,10,5,bogo,True,True,True,True
1,O,56,53000.0,2015,1,4,5,5,5,bogo,True,True,True,True
1,M,65,61000.0,2018,3,15,2,10,10,discount,True,True,True,True
0,M,83,75000.0,2015,9,8,0,0,4,informational,True,True,True,False
0,M,74,52000.0,2015,12,14,0,0,4,informational,True,True,True,False
1,M,84,93000.0,2016,9,14,5,5,5,bogo,True,True,True,True
0,F,45,73000.0,2018,6,7,5,5,7,bogo,True,True,True,False
0,M,28,70000.0,2017,11,23,5,20,10,discount,True,False,True,False
1,M,36,31000.0,2018,4,24,5,5,5,bogo,True,True,True,True
0,F,64,67000.0,2017,8,22,0,0,3,informational,True,True,False,True
1,F,57,60000.0,2016,3,13,3,7,7,discount,True,True,True,True
0,F,118,70598.23,2017,12,28,5,5,5,bogo,True,True,True,True
