,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,is_offer_completed,reward,difficulty,duration,offer_type,email,mobile,web,social
29,M,58,51000.0,2017,11,11,1,2,10,10,discount,True,True,True,True
30,F,61,57000.0,2017,9,11,0,5,20,10,discount,True,False,True,False
31,F,61,57000.0,2017,9,11,1,10,10,5,bogo,True,True,True,True
32,F,61,57000.0,2017,9,11,0,0,0,3,informational,True,True,False,True
33,F,61,57000.0,2017,9,11,1,10,10,7,bogo,True,True,False,True
34,F,61,57000.0,2017,9,11,1,5,5,5,bogo,True,True,True,True
35,M,26,46000.0,2014,2,13,0,10,10,7,bogo,True,True,False,True
36,F,62,71000.0,2016,2,11,0,5,20,10,discount,True,False,True,False
37,F,62,71000.0,2016,2,11,1,3,7,7,discount,True,True,True,True
38,M,49,52000.0,2014,11,13,0,0,0,3,informational,True,True,False,True
39,M,49,52000.0,2014,11,13,1,10,10,7,bogo,True,True,False,True
40,F,118,70598.22601839685,2017,8,1,0,5,20,10,discount,True,False,True,False
41,F,118,70598.22601839685,2017,8,1,0,3,7,7,discount,True,True,True,True
42,F,118,70598.22601839685,2017,8,1,0,10,10,5,bogo,True,True,True,True
43,F,118,70598.22601839685,2017,8,1,0,0,0,3,informational,True,True,False,True
44,F,118,70598.22601839685,2017,8,1,0,10,10,7,bogo,True,True,False,True
45,M,57,42000.0,2017,12,31,1,3,7,7,discount,True,True,True,True
46,F,61,40000.0,2018,5,1,0,0,0,3,informational,True,True,False,True
47,F,61,40000.0,2018,5,1,0,10,10,7,bogo,True,True,False,True
48,F,40,71000.0,2016,5,4,1,5,20,10,discount,True,False,True,False
49,F,40,71000.0,2016,5,4,1,3,7,7,discount,True,True,True,True
50,M,64,100000.0,2017,9,9,1,5,20,10,discount,True,False,True,False
51,M,64,100000.0,2017,9,9,0,0,0,4,informational,True,True,True,False
52,M,64,100000.0,2017,9,9,1,10,10,7,bogo,True,True,False,True
53,F,78,71000.0,2017,6,16,0,0,0,4,informational,True,True,True,False
54,F,78,71000.0,2017,6,16,0,10,10,5,bogo,True,True,True,True
55,F,78,71000.0,2017,6,16,0,0,0,3,informational,True,True,False,True
56,F,78,71000.0,2017,6,16,1,2,10,10,discount,True,True,True,True
57,F,118,70598.22601839685,2017,9,7,0,5,20,10,discount,True,False,True,False
58,F,118,70598.22601839685,2017,9,7,0,3,7,7,discount,True,True,True,True
59,F,118,70598.22601839685,2017,9,7,0,0,0,4,informational,True,True,True,False
60,F,118,70598.22601839685,2017,9,7,0,10,10,5,bogo,True,True,True,True
61,M,42,69000.0,2013,8,11,0,0,0,4,informational,True,True,True,False
62,M,42,69000.0,2013,8,11,1,10,10,5,bogo,True,True,True,True
63,M,42,69000.0,2013,8,11,1,2,10,10,discount,True,True,True,True
64,F,56,88000.0,2018,4,28,1,5,20,10,discount,True,False,True,False
65,F,56,88000.0,2018,4,28,1,2,10,7,discount,True,True,True,False
66,F,56,88000.0,2018,4,28,1,10,10,5,bogo,True,True,True,True
67,F,56,88000.0,2018,4,28,0,5,5,7,bogo,True,True,True,False
68,F,118,70598.22601839685,2017,3,30,0,5,20,10,discount,True,False,True,False
69,F,118,70598.22601839685,2017,3,30,0,5,5,7,bogo,True,True,True,False
70,F,118,70598.22601839685,2017,3,30,0,10,10,7,bogo,True,True,False,True
71,F,118,70598.22601839685,2017,3,30,1,2,10,10,discount,True,True,True,True
72,F,33,52000.0,2017,9,26,0,3,7,7,discount,True,True,True,True
73,F,33,52000.0,2017,9,26,0,2,10,7,discount,True,True,True,False
74,F,33,52000.0,2017,9,26,1,2,10,10,discount,True,True,True,True
75,F,46,59000.0,2017,9,11,0,10,10,5,bogo,True,True,True,True
76,M,59,41000.0,2015,1,21,1,2,10,7,discount,True,True,True,False
77,M,59,41000.0,2015,1,21,0,0,0,3,informational,True,True,False,True
78,M,59,41000.0,2015,1,21,0,5,5,7,bogo,True,True,True,False
79,M,59,41000.0,2015,1,21,1,2,10,10,discount,True,True,True,True
80,M,67,96000.0,2014,8,23,1,3,7,7,discount,True,True,True,True
81,M,67,96000.0,2014,8,23,1,5,5,5,bogo,True,True,True,True
82,O,53,52000.0,2017,9,16,0,10,10,5,bogo,True,True,True,True
83,O,53,52000.0,2017,9,16,0,0,0,3,informational,True,True,False,True
84,M,22,70000.0,2017,9,25,1,5,20,10,discount,True,False,True,False
85,M,22,70000.0,2017,9,25,1,3,7,7,discount,True,True,True,True
86,M,22,70000.0,2017,9,25,0,0,0,4,informational,True,True,True,False
87,M,22,70000.0,2017,9,25,1,10,10,5,bogo,True,True,True,True
88,M,22,70000.0,2017,9,25,0,10,10,7,bogo,True,True,False,True
89,F,96,89000.0,2017,11,17,0,0,0,3,informational,True,True,False,True
90,F,96,89000.0,2017,11,17,1,5,5,5,bogo,True,True,True,True
91,M,40,33000.0,2016,7,9,0,0,0,3,informational,True,True,False,True
92,M,40,33000.0,2016,7,9,1,5,5,7,bogo,True,True,True,False
93,M,40,33000.0,2016,7,9,0,10,10,7,bogo,True,True,False,True
94,M,40,33000.0,2016,7,9,0,5,5,5,bogo,True,True,True,True
95,F,69,57000.0,2016,8,14,0,0,0,4,informational,True,True,True,False
96,F,69,57000.0,2016,8,14,1,10,10,5,bogo,True,True,True,True
97,F,69,57000.0,2016,8,14,0,0,0,3,informational,True,True,False,True
98,F,69,57000.0,2016,8,14,1,5,5,7,bogo,True,True,True,False
99,F,69,57000.0,2016,8,14,1,10,10,7,bogo,True,True,False,True
100,F,118,70598.22601839685,2016,7,7,0,0,0,3,informational,True,True,False,True
101,F,118,70598.22601839685,2016,7,7,1,5,5,5,bogo,True,True,True,True
102,M,56,68000.0,2014,5,11,1,5,20,10,discount,True,False,True,False
103,M,56,68000.0,2014,5,11,1,2,10,10,discount,True,True,True,True
104,F,26,63000.0,2017,8,12,1,3,7,7,discount,True,True,True,True
105,F,26,63000.0,2017,8,12,0,0,0,3,informational,True,True,False,True
106,F,26,63000.0,2017,8,12,1,2,10,10,discount,True,True,True,True
107,F,118,70598.22601839685,2018,1,13,0,3,7,7,discount,True,True,True,True
108,F,118,70598.22601839685,2018,1,13,0,10,10,5,bogo,True,True,True,True
109,F,118,70598.22601839685,2018,1,13,0,0,0,3,informational,True,True,False,True
110,F,118,70598.22601839685,2018,1,13,0,2,10,10,discount,True,True,True,True
111,M,75,40000.0,2015,11,12,1,3,7,7,discount,True,True,True,True
112,M,75,40000.0,2015,11,12,1,2,10,7,discount,True,True,True,False
113,M,75,40000.0,2015,11,12,1,5,5,5,bogo,True,True,True,True
114,F,20,30000.0,2016,7,11,0,10,10,7,bogo,True,True,False,True
115,M,45,33000.0,2018,7,7,1,3,7,7,discount,True,True,True,True
116,M,45,33000.0,2018,7,7,0,0,0,4,informational,True,True,True,False
117,M,45,33000.0,2018,7,7,1,5,5,7,bogo,True,True,True,False
118,M,61,98000.0,2017,11,21,1,3,7,7,discount,True,True,True,True
119,M,61,98000.0,2017,11,21,1,10,10,5,bogo,True,True,True,True
120,M,61,98000.0,2017,11,21,1,5,5,7,bogo,True,True,True,False
121,M,61,98000.0,2017,11,21,0,5,5,5,bogo,True,True,True,True
122,F,118,70598.22601839685,2014,11,11,0,5,20,10,discount,True,False,True,False
123,F,118,70598.22601839685,2017,5,11,0,5,20,10,discount,True,False,True,False
124,F,118,70598.22601839685,2017,5,11,0,5,5,5,bogo,True,True,True,True
125,F,118,70598.22601839685,2017,5,11,1,2,10,10,discount,True,True,True,True
126,F,69,37000.0,2013,9,18,0,3,7,7,discount,True,True,True,True
127,F,69,37000.0,2013,9,18,0,10,10,7,bogo,True,True,False,True
128,F,54,80000.0,2017,2,7,0,0,0,4,informational,True,True,True,False
129,F,54,80000.0,2017,2,7,1,10,10,5,bogo,True,True,True,True
130,F,54,80000.0,2017,2,7,0,0,0,3,informational,True,True,False,True
131,F,54,80000.0,2017,2,7,1,5,5,5,bogo,True,True,True,True
132,F,54,80000.0,2017,2,7,1,2,10,10,discount,True,True,True,True
133,M,39,51000.0,2014,5,27,0,10,10,5,bogo,True,True,True,True
134,M,39,51000.0,2014,5,27,0,0,0,3,informational,True,True,False,True
135,M,39,51000.0,2014,5,27,1,5,5,5,bogo,True,True,True,True
136,F,41,41000.0,2015,9,21,1,3,7,7,discount,True,True,True,True
137,F,41,41000.0,2015,9,21,0,10,10,7,bogo,True,True,False,True
138,F,79,48000.0,2015,4,15,0,5,5,7,bogo,True,True,True,False
139,F,79,48000.0,2015,4,15,1,10,10,7,bogo,True,True,False,True
140,F,66,38000.0,2018,4,8,0,10,10,5,bogo,True,True,True,True
141,F,66,38000.0,2018,4,8,0,0,0,3,informational,True,True,False,True
142,F,66,38000.0,2018,4,8,1,5,5,7,bogo,True,True,True,False
143,F,66,38000.0,2018,4,8,0,10,10,7,bogo,True,True,False,True
144,F,56,52000.0,2017,6,26,1,3,7,7,discount,True,True,True,True
145,F,39,56000.0,2014,7,23,1,3,7,7,discount,True,True,True,True
146,F,39,56000.0,2014,7,23,0,0,0,3,informational,True,True,False,True
147,F,39,56000.0,2014,7,23,1,5,5,7,bogo,True,True,True,False
148,F,118,70598.22601839685,2017,5,28,1,5,5,7,bogo,True,True,True,False
149,F,118,70598.22601839685,2017,5,28,1,5,5,5,bogo,True,True,True,True
150,M,42,96000.0,2016,1,17,1,5,20,10,discount,True,False,True,False
151,M,42,96000.0,2016,1,17,1,3,7,7,discount,True,True,True,True
152,M,42,96000.0,2016,1,17,1,2,10,7,discount,True,True,True,False
153,M,42,96000.0,2016,1,17,1,10,10,5,bogo,True,True,True,True
154,F,118,70598.22601839685,2017,10,13,0,3,7,7,discount,True,True,True,True
155,F,118,70598.22601839685,2017,10,13,0,2,10,7,discount,True,True,True,False
156,F,118,70598.22601839685,2017,10,13,0,0,0,4,informational,True,True,True,False
157,F,118,70598.22601839685,2015,12,20,0,0,0,3,informational,True,True,False,True
158,F,118,70598.22601839685,2015,12,20,0,10,10,7,bogo,True,True,False,True
159,F,78,93000.0,2016,10,9,1,5,20,10,discount,True,False,True,False
160,F,78,93000.0,2016,10,9,1,10,10,5,bogo,True,True,True,True
161,F,78,93000.0,2016,10,9,1,10,10,7,bogo,True,True,False,True
162,F,78,93000.0,2016,10,9,1,5,5,5,bogo,True,True,True,True
163,F,78,93000.0,2016,10,9,1,2,10,10,discount,True,True,True,True
164,M,45,48000.0,2017,10,6,0,10,10,7,bogo,True,True,False,True
165,M,45,48000.0,2017,10,6,0,2,10,10,discount,True,True,True,True
166,M,29,50000.0,2016,4,30,0,0,0,3,informational,True,True,False,True
167,M,29,50000.0,2016,4,30,0,2,10,10,discount,True,True,True,True
168,M,44,35000.0,2017,9,24,1,3,7,7,discount,True,True,True,True
169,M,44,35000.0,2017,9,24,1,5,5,5,bogo,True,True,True,True
170,M,44,35000.0,2017,9,24,1,2,10,10,discount,True,True,True,True
171,M,63,56000.0,2018,7,13,1,2,10,7,discount,True,True,True,False
172,M,63,56000.0,2018,7,13,1,10,10,7,bogo,True,True,False,True
173,M,63,56000.0,2018,7,13,1,2,10,10,discount,True,True,True,True
174,M,36,56000.0,2017,12,28,1,3,7,7,discount,True,True,True,True
175,M,36,56000.0,2017,12,28,0,0,0,3,informational,True,True,False,True
176,F,76,47000.0,2018,3,14,1,3,7,7,discount,True,True,True,True
177,F,76,47000.0,2018,3,14,0,10,10,5,bogo,True,True,True,True
178,M,68,87000.0,2017,8,23,1,3,7,7,discount,True,True,True,True
179,M,68,87000.0,2017,8,23,1,2,10,7,discount,True,True,True,False
180,M,68,87000.0,2017,8,23,1,10,10,5,bogo,True,True,True,True
181,M,68,87000.0,2017,8,23,1,5,5,5,bogo,True,True,True,True
182,M,75,52000.0,2015,11,29,1,2,10,7,discount,True,True,True,False
183,M,75,52000.0,2015,11,29,0,0,0,3,informational,True,True,False,True
184,M,75,52000.0,2015,11,29,1,5,5,7,bogo,True,True,True,False
185,M,67,76000.0,2017,2,26,1,3,7,7,discount,True,True,True,True
186,M,67,76000.0,2017,2,26,0,0,0,3,informational,True,True,False,True
187,M,67,76000.0,2017,2,26,1,5,5,5,bogo,True,True,True,True
188,M,67,76000.0,2017,2,26,1,2,10,10,discount,True,True,True,True
189,M,77,51000.0,2016,7,30,0,10,10,5,bogo,True,True,True,True
190,M,77,51000.0,2016,7,30,0,0,0,3,informational,True,True,False,True
191,M,77,51000.0,2016,7,30,0,5,5,5,bogo,True,True,True,True
192,M,76,64000.0,2014,8,31,1,2,10,7,discount,True,True,True,False
193,M,76,64000.0,2014,8,31,0,0,0,3,informational,True,True,False,True
194,F,53,72000.0,2016,7,6,1,3,7,7,discount,True,True,True,True
195,F,53,72000.0,2016,7,6,1,10,10,5,bogo,True,True,True,True
196,F,53,72000.0,2016,7,6,0,0,0,3,informational,True,True,False,True
197,F,53,72000.0,2016,7,6,1,10,10,7,bogo,True,True,False,True
198,F,53,117000.0,2016,12,31,1,10,10,5,bogo,True,True,True,True
199,F,53,117000.0,2016,12,31,1,5,5,7,bogo,True,True,True,False
200,F,53,117000.0,2016,12,31,1,10,10,7,bogo,True,True,False,True
201,F,53,55000.0,2017,10,26,0,5,5,5,bogo,True,True,True,True
202,F,53,55000.0,2017,10,26,1,2,10,10,discount,True,True,True,True
203,F,61,112000.0,2017,11,10,1,3,7,7,discount,True,True,True,True
204,F,61,112000.0,2017,11,10,0,2,10,7,discount,True,True,True,False
205,F,61,112000.0,2017,11,10,0,0,0,4,informational,True,True,True,False
206,F,61,112000.0,2017,11,10,1,2,10,10,discount,True,True,True,True
207,F,67,77000.0,2016,9,10,1,2,10,7,discount,True,True,True,False
208,F,67,77000.0,2016,9,10,0,0,0,3,informational,True,True,False,True
209,F,67,77000.0,2016,9,10,0,5,5,5,bogo,True,True,True,True
210,F,58,85000.0,2018,1,25,1,5,20,10,discount,True,False,True,False
211,F,58,85000.0,2018,1,25,1,5,5,5,bogo,True,True,True,True
212,F,58,85000.0,2018,1,25,1,2,10,10,discount,True,True,True,True
213,F,46,36000.0,2018,6,29,0,3,7,7,discount,True,True,True,True
214,F,46,36000.0,2018,6,29,0,2,10,10,discount,True,True,True,True
215,M,30,41000.0,2017,12,2,0,0,0,3,informational,True,True,False,True
216,M,30,41000.0,2017,12,2,0,10,10,7,bogo,True,True,False,True
217,M,59,89000.0,2017,8,20,0,3,7,7,discount,True,True,True,True
218,M,59,89000.0,2017,8,20,0,0,0,4,informational,True,True,True,False
219,M,59,89000.0,2017,8,20,1,10,10,7,bogo,True,True,False,True
220,F,118,70598.22601839685,2017,9,18,0,3,7,7,discount,True,True,True,True
221,F,118,70598.22601839685,2017,9,18,0,0,0,3,informational,True,True,False,True
222,M,51,41000.0,2015,12,31,0,5,20,10,discount,True,False,True,False
223,M,51,41000.0,2015,12,31,1,5,5,5,bogo,True,True,True,True
224,M,51,41000.0,2015,12,31,1,2,10,10,discount,True,True,True,True
225,M,27,35000.0,2018,1,10,0,0,0,3,informational,True,True,False,True
226,M,27,35000.0,2018,1,10,0,5,5,5,bogo,True,True,True,True
227,M,27,35000.0,2018,1,10,1,2,10,10,discount,True,True,True,True
228,M,40,53000.0,2018,2,27,0,0,0,3,informational,True,True,False,True
229,M,40,53000.0,2018,2,27,0,5,5,5,bogo,True,True,True,True
230,F,118,70598.22601839685,2015,9,20,0,5,20,10,discount,True,False,True,False
231,F,118,70598.22601839685,2015,9,20,1,3,7,7,discount,True,True,True,True
232,F,118,70598.22601839685,2015,9,20,0,5,5,5,bogo,True,True,True,True
233,F,118,70598.22601839685,2015,9,20,1,2,10,10,discount,True,True,True,True
234,F,73,91000.0,2018,4,19,1,3,7,7,discount,True,True,True,True
235,F,73,91000.0,2018,4,19,0,2,10,7,discount,True,True,True,False
236,F,73,91000.0,2018,4,19,0,0,0,3,informational,True,True,False,True
237,F,73,91000.0,2018,4,19,1,10,10,7,bogo,True,True,False,True
238,F,73,91000.0,2018,4,19,1,5,5,5,bogo,True,True,True,True
239,F,74,107000.0,2015,12,24,1,3,7,7,discount,True,True,True,True
240,F,74,107000.0,2015,12,24,1,2,10,10,discount,True,True,True,True
241,M,42,66000.0,2015,11,21,1,3,7,7,discount,True,True,True,True
242,M,42,66000.0,2015,11,21,0,0,0,4,informational,True,True,True,False
243,M,78,58000.0,2015,11,11,0,0,0,4,informational,True,True,True,False
244,M,78,58000.0,2015,11,11,1,10,10,5,bogo,True,True,True,True
245,M,78,58000.0,2015,11,11,0,0,0,3,informational,True,True,False,True
246,F,54,53000.0,2016,12,25,0,10,10,7,bogo,True,True,False,True
247,F,54,53000.0,2016,12,25,1,2,10,10,discount,True,True,True,True
248,F,70,74000.0,2018,6,13,0,3,7,7,discount,True,True,True,True
249,F,70,74000.0,2018,6,13,0,5,5,5,bogo,True,True,True,True
250,F,49,57000.0,2017,4,8,1,3,7,7,discount,True,True,True,True
251,F,49,57000.0,2017,4,8,0,0,0,3,informational,True,True,False,True
252,F,49,57000.0,2017,4,8,1,5,5,7,bogo,True,True,True,False
253,F,49,57000.0,2017,4,8,1,10,10,7,bogo,True,True,False,True
254,F,62,57000.0,2018,4,10,0,3,7,7,discount,True,True,True,True
255,F,62,57000.0,2018,4,10,0,5,5,7,bogo,True,True,True,False
256,M,64,70000.0,2017,3,5,1,5,20,10,discount,True,False,True,False
257,M,64,70000.0,2017,3,5,1,3,7,7,discount,True,True,True,True
258,M,64,70000.0,2017,3,5,1,10,10,5,bogo,True,True,True,True
259,M,64,70000.0,2017,3,5,1,2,10,10,discount,True,True,True,True
260,F,89,87000.0,2017,11,14,1,3,7,7,discount,True,True,True,True
261,F,89,87000.0,2017,11,14,1,2,10,7,discount,True,True,True,False
262,M,73,51000.0,2018,4,1,0,10,10,5,bogo,True,True,True,True
263,M,73,51000.0,2018,4,1,0,0,0,3,informational,True,True,False,True
264,M,73,51000.0,2018,4,1,1,2,10,10,discount,True,True,True,True
265,F,118,70598.22601839685,2016,8,6,0,0,0,4,informational,True,True,True,False
266,F,118,70598.22601839685,2016,8,6,0,0,0,3,informational,True,True,False,True
267,F,118,70598.22601839685,2016,8,6,0,10,10,7,bogo,True,True,False,True
268,F,118,70598.22601839685,2016,8,6,1,2,10,10,discount,True,True,True,True
269,F,50,93000.0,2017,5,6,1,3,7,7,discount,True,True,True,True
270,F,50,93000.0,2017,5,6,1,2,10,7,discount,True,True,True,False
271,F,50,93000.0,2017,5,6,0,0,0,3,informational,True,True,False,True
272,F,50,93000.0,2017,5,6,1,5,5,5,bogo,True,True,True,True
273,F,90,98000.0,2015,12,10,1,10,10,7,bogo,True,True,False,True
274,M,60,64000.0,2017,2,6,0,5,5,7,bogo,True,True,True,False
275,M,60,64000.0,2017,2,6,1,5,5,5,bogo,True,True,True,True
276,M,45,54000.0,2017,8,15,0,10,10,5,bogo,True,True,True,True
277,M,45,54000.0,2017,8,15,0,10,10,7,bogo,True,True,False,True
278,M,45,54000.0,2017,8,15,0,2,10,10,discount,True,True,True,True
279,M,66,49000.0,2016,1,24,1,3,7,7,discount,True,True,True,True
280,M,66,49000.0,2016,1,24,0,0,0,4,informational,True,True,True,False
281,M,66,49000.0,2016,1,24,1,10,10,5,bogo,True,True,True,True
282,M,66,49000.0,2016,1,24,1,5,5,5,bogo,True,True,True,True
283,F,118,70598.22601839685,2017,2,23,0,3,7,7,discount,True,True,True,True
284,F,118,70598.22601839685,2017,2,23,0,0,0,4,informational,True,True,True,False
285,F,118,70598.22601839685,2017,8,23,0,10,10,5,bogo,True,True,True,True
286,F,118,70598.22601839685,2017,8,23,0,0,0,3,informational,True,True,False,True
287,F,118,70598.22601839685,2017,8,23,0,10,10,7,bogo,True,True,False,True
288,F,19,73000.0,2016,10,15,1,5,5,7,bogo,True,True,True,False
289,F,19,73000.0,2016,10,15,1,2,10,10,discount,True,True,True,True
290,F,66,58000.0,2018,2,16,1,3,7,7,discount,True,True,True,True
291,F,66,58000.0,2018,2,16,0,0,0,4,informational,True,True,True,False
292,F,66,58000.0,2018,2,16,1,5,5,7,bogo,True,True,True,False
293,F,66,58000.0,2018,2,16,1,10,10,7,bogo,True,True,False,True
294,F,72,72000.0,2016,8,11,1,3,7,7,discount,True,True,True,True
295,F,72,72000.0,2016,8,11,1,10,10,5,bogo,True,True,True,True
296,F,72,72000.0,2016,8,11,1,10,10,7,bogo,True,True,False,True
297,F,72,72000.0,2016,8,11,1,5,5,5,bogo,True,True,True,True
298,F,72,72000.0,2016,8,11,1,2,10,10,discount,True,True,True,True
299,F,118,70598.22601839685,2016,1,30,0,0,0,4,informational,True,True,True,False
300,F,118,70598.22601839685,2016,1,30,0,10,10,5,bogo,True,True,True,True
301,F,118,70598.22601839685,2016,1,30,0,10,10,7,bogo,True,True,False,True
302,M,76,63000.0,2016,4,7,1,5,20,10,discount,True,False,True,False
303,M,76,63000.0,2016,4,7,0,0,0,4,informational,True,True,True,False
304,M,76,63000.0,2016,4,7,1,5,5,5,bogo,True,True,True,True
305,M,76,63000.0,2016,4,7,1,2,10,10,discount,True,True,True,True
306,M,52,78000.0,2017,5,15,1,2,10,7,discount,True,True,True,False
307,M,52,78000.0,2017,5,15,1,10,10,5,bogo,True,True,True,True
308,M,55,31000.0,2017,12,10,0,10,10,5,bogo,True,True,True,True
309,M,55,31000.0,2017,12,10,0,10,10,7,bogo,True,True,False,True
310,F,39,60000.0,2017,9,19,1,2,10,7,discount,True,True,True,False
311,F,39,60000.0,2017,9,19,1,10,10,5,bogo,True,True,True,True
312,F,39,60000.0,2017,9,19,0,0,0,3,informational,True,True,False,True
313,F,39,60000.0,2017,9,19,1,5,5,5,bogo,True,True,True,True
314,F,45,44000.0,2016,1,26,1,10,10,5,bogo,True,True,True,True
315,F,45,44000.0,2016,1,26,1,2,10,10,discount,True,True,True,True
316,F,57,114000.0,2017,7,4,1,10,10,5,bogo,True,True,True,True
317,F,57,114000.0,2017,7,4,1,10,10,7,bogo,True,True,False,True
318,F,57,114000.0,2017,7,4,1,5,5,5,bogo,True,True,True,True
319,F,57,114000.0,2017,7,4,1,2,10,10,discount,True,True,True,True
320,M,74,48000.0,2018,7,12,0,5,5,7,bogo,True,True,True,False
321,M,18,47000.0,2016,7,27,1,3,7,7,discount,True,True,True,True
322,M,18,47000.0,2016,7,27,1,10,10,5,bogo,True,True,True,True
323,M,18,47000.0,2016,7,27,1,2,10,10,discount,True,True,True,True
324,M,53,96000.0,2017,9,27,1,3,7,7,discount,True,True,True,True
325,M,53,96000.0,2017,9,27,1,2,10,7,discount,True,True,True,False
326,M,53,96000.0,2017,9,27,0,10,10,7,bogo,True,True,False,True
327,M,53,96000.0,2017,9,27,1,5,5,5,bogo,True,True,True,True
328,F,59,98000.0,2017,9,10,1,2,10,7,discount,True,True,True,False
329,M,57,46000.0,2014,11,4,0,0,0,4,informational,True,True,True,False
330,M,57,46000.0,2014,11,4,0,10,10,5,bogo,True,True,True,True
331,F,51,56000.0,2017,8,13,0,0,0,3,informational,True,True,False,True
332,F,118,70598.22601839685,2015,7,30,0,3,7,7,discount,True,True,True,True
333,F,118,70598.22601839685,2015,7,30,0,10,10,5,bogo,True,True,True,True
334,F,118,70598.22601839685,2015,7,30,0,0,0,3,informational,True,True,False,True
335,F,118,70598.22601839685,2015,7,30,0,5,5,7,bogo,True,True,True,False
336,F,118,70598.22601839685,2015,7,30,0,5,5,5,bogo,True,True,True,True
337,F,118,70598.22601839685,2017,11,25,0,2,10,7,discount,True,True,True,False
338,F,118,70598.22601839685,2017,11,25,0,10,10,5,bogo,True,True,True,True
339,F,118,70598.22601839685,2017,11,25,0,0,0,3,informational,True,True,False,True
340,F,64,37000.0,2017,10,20,0,10,10,5,bogo,True,True,True,True
341,F,64,37000.0,2017,10,20,1,5,5,7,bogo,True,True,True,False
342,F,64,37000.0,2017,10,20,0,10,10,7,bogo,True,True,False,True
343,F,64,37000.0,2017,10,20,1,5,5,5,bogo,True,True,True,True
344,F,64,37000.0,2017,10,20,1,2,10,10,discount,True,True,True,True
345,M,71,57000.0,2017,1,29,0,0,0,4,informational,True,True,True,False
346,M,71,57000.0,2017,1,29,0,5,5,5,bogo,True,True,True,True
347,F,64,66000.0,2017,4,21,1,2,10,7,discount,True,True,True,False
348,F,64,66000.0,2017,4,21,0,10,10,5,bogo,True,True,True,True
349,F,64,66000.0,2017,4,21,0,0,0,3,informational,True,True,False,True
350,F,64,66000.0,2017,4,21,1,10,10,7,bogo,True,True,False,True
351,M,83,46000.0,2018,1,27,0,3,7,7,discount,True,True,True,True
352,M,83,46000.0,2018,1,27,0,0,0,3,informational,True,True,False,True
353,M,83,46000.0,2018,1,27,0,10,10,7,bogo,True,True,False,True
354,M,83,46000.0,2018,1,27,0,5,5,5,bogo,True,True,True,True
355,M,26,71000.0,2017,12,11,0,3,7,7,discount,True,True,True,True
356,M,26,71000.0,2017,12,11,0,0,0,3,informational,True,True,False,True
357,M,26,71000.0,2017,12,11,0,10,10,7,bogo,True,True,False,True
358,F,118,70598.22601839685,2016,4,18,0,2,10,7,discount,True,True,True,False
359,F,118,70598.22601839685,2016,4,18,0,0,0,3,informational,True,True,False,True
360,F,118,70598.22601839685,2016,4,18,0,10,10,7,bogo,True,True,False,True
361,F,29,58000.0,2018,3,21,1,3,7,7,discount,True,True,True,True
362,F,29,58000.0,2018,3,21,0,0,0,3,informational,True,True,False,True
363,F,29,58000.0,2018,3,21,0,10,10,7,bogo,True,True,False,True
